ID,City,Group_size,Age,TOM,BUMO,BUMO_Previous,MostFavourite,Gender,Age_Group_2,Occupation,Occupation_Group,Year,Needstates,Daypart,NeedstateGroup,Brand,Spontaneous,Trial,P3M,P1M,Comprehension,Brand_Likability,Weekly,Daily,Segmentation,NPS_P3M,NPS_P3M_Group,Awareness,Attribute,BrandImage,Visit,Spending,PPA
134421,Hồ Chí Minh,4.0,18.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,The Coffee House,Female,16 - 19 y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Convenient location,Highlands Coffee,8.0,120.0,15.0
134493,Hồ Chí Minh,4.0,28.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Milano,Female,25 - 29 y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,8.0,96.0,12.0
134496,Hồ Chí Minh,1.0,57.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Phúc Long,Female,45+ y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Delicious food,Highlands Coffee,4.0,60.0,15.0
135008,Hồ Chí Minh,4.0,21.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Female,20 - 24 y.o.,Pupil / Student,None Working,2017,Drinking tea,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),8.0,Passive,Highlands Coffee,Good tea taste,Highlands Coffee,3.0,150.0,50.0
136069,Hồ Chí Minh,3.0,24.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,20 - 24 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Feel I belong here,Highlands Coffee,4.0,120.0,30.0
136073,Hồ Chí Minh,3.0,25.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Urban Station,Male,25 - 29 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Recommended by others,Highlands Coffee,4.0,200.0,50.0
136291,Hồ Chí Minh,4.0,34.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,30 - 34 y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,2.0,20.0,10.0
137958,Hồ Chí Minh,3.0,48.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Feel I belong here,Highlands Coffee,30.0,300.0,10.0
138286,Hồ Chí Minh,3.0,22.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Phúc Long,Male,20 - 24 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Quick speed of service,Highlands Coffee,2.0,24.0,12.0
138296,Hồ Chí Minh,2.0,53.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Socializing,Overall,Socializing,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Feel I belong here,Highlands Coffee,4.0,40.0,10.0
138302,Hồ Chí Minh,3.0,17.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Phúc Long,Male,16 - 19 y.o.,Pupil / Student,None Working,2017,Socializing,Overall,Socializing,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Delicious food,Highlands Coffee,4.0,40.0,10.0
138317,Hồ Chí Minh,3.0,39.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,35 - 39 y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good place for working / studying,Highlands Coffee,2.0,20.0,10.0
138378,Hồ Chí Minh,5.0,58.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,45+ y.o.,Retirement,None Working,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,20.0,240.0,12.0
138384,Hồ Chí Minh,4.0,55.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good music,Highlands Coffee,2.0,24.0,12.0
138385,Hồ Chí Minh,4.0,47.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,20.0,180.0,9.0
138762,Hồ Chí Minh,4.0,46.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Other Branded Cafe Chain,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,2.0,30.0,15.0
138976,Hồ Chí Minh,3.0,23.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Urban Station,Female,20 - 24 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Convenient location,Highlands Coffee,1.0,40.0,40.0
139000,Hồ Chí Minh,5.0,22.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,The Coffee House,Male,20 - 24 y.o.,Pupil / Student,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good place for working / studying,Highlands Coffee,4.0,40.0,10.0
139005,Hồ Chí Minh,5.0,16.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,16 - 19 y.o.,Pupil / Student,None Working,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Convenient location,Highlands Coffee,2.0,36.0,18.0
139006,Hồ Chí Minh,5.0,44.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,40 - 44 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Recommended by others,Highlands Coffee,10.0,200.0,20.0
139021,Hồ Chí Minh,3.0,30.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Milano,Male,30 - 34 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Popular brand,Highlands Coffee,31.0,372.0,12.0
139054,Hồ Chí Minh,2.0,31.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,The Coffee House,Male,30 - 34 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,8.0,96.0,12.0
139055,Hồ Chí Minh,1.0,42.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,The Coffee House,Male,40 - 44 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good place for working / studying,Highlands Coffee,30.0,300.0,10.0
139056,Hồ Chí Minh,4.0,20.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,KOI cafe,Male,20 - 24 y.o.,Pupil / Student,None Working,2017,Drinking tea,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,7.0,105.0,15.0
141307,Hồ Chí Minh,1.0,23.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Starbucks,Female,20 - 24 y.o.,Freelance,Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Convenient location,Highlands Coffee,28.0,336.0,12.0
116686,Cần Thơ,4.0,36.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,35 - 39 y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,10.0,90.0,9.0
122218,Đà Nẵng,2.0,28.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,25 - 29 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,10.0,80.0,8.0
123551,Đà Nẵng,1.0,47.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Quick speed of service,Highlands Coffee,30.0,180.0,6.0
123573,Đà Nẵng,2.0,47.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,45+ y.o.,Housewife,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good value for money,Highlands Coffee,15.0,225.0,15.0
126909,Đà Nẵng,2.0,42.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,40 - 44 y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Quick speed of service,Highlands Coffee,4.0,100.0,25.0
126911,Đà Nẵng,2.0,58.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Milano,Male,45+ y.o.,Officer - Staff level,White Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Comfortable and relaxing environment,Highlands Coffee,4.0,60.0,15.0
127414,Đà Nẵng,3.0,48.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,45+ y.o.,Housewife,None Working,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,2.0,24.0,12.0
127603,Đà Nẵng,3.0,39.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,35 - 39 y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good music,Highlands Coffee,3.0,195.0,65.0
131015,Đà Nẵng,2.0,51.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,45+ y.o.,"Unskilled Labor (worker, landry person, driver, security guard, cleaner)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good music,Highlands Coffee,4.0,60.0,15.0
133996,Đà Nẵng,2.0,22.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Milano,Male,20 - 24 y.o.,Pupil / Student,None Working,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good tea taste,Highlands Coffee,12.0,144.0,12.0
134184,Đà Nẵng,2.0,46.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Good music,Highlands Coffee,3.0,24.0,8.0
134241,Đà Nẵng,3.0,42.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,40 - 44 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,1.0,12.0,12.0
134820,Đà Nẵng,4.0,34.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Highlands Coffee,Male,30 - 34 y.o.,Military / Police,Other Occupations,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),8.0,Passive,Highlands Coffee,Convenient location,Highlands Coffee,30.0,240.0,8.0
134864,Đà Nẵng,6.0,31.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,30 - 34 y.o.,"Small Business (small shop owner, grocery store, etc.)",Self Employed - Small Business and Freelance,2017,"Drinking other beverages (excluding tea, coffee, freeze)",Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Good place for working / studying,Highlands Coffee,4.0,60.0,15.0
135046,Hải Phòng,3.0,31.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Female,30 - 34 y.o.,Officer - Staff level,White Collar,2017,Drinking ice-blended,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.04 - Super Premium (VND 100K+),9.0,Promoter,Highlands Coffee,Delicious food,Highlands Coffee,1.0,25.0,25.0
135257,Cần Thơ,4.0,39.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,35 - 39 y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-1.0,Unknown,Unknown,Unknown,Unknown,8.0,96.0,12.0
135591,Đà Nẵng,2.0,50.0,Street / Half street coffee (including carts),Street / Half street coffee (including carts),Don't have any brands,Independent Cafe,Male,45+ y.o.,"Skilled Labor (tailor, machinist, carpenter, electrician)",Blue Collar,2017,Drinking coffee,Overall,Drinking beverages,Highlands Coffee,Highlands Coffee,Unknown,Unknown,Unknown,Know a little,Highlands Coffee,Unknown,Unknown,Seg.01 - Mass (<VND 25K),9.0,Promoter,Highlands Coffee,Delicious food,Highlands Coffee,10.0,80.0,8.0
